age,cefr,filename,gender,lang,num_tokens,split,testlevel,title,topic
20,N/A,h0001,mann,serbokroatisk,428,N/A,Høyere nivå,Mobbing på arbeidsplassen,arbeid mobbing holdning 
42,N/A,h0002,kvinne,nederlandsk,433,N/A,Høyere nivå,Verdikommisjonen,organisasjon 
31,B2,h0003,kvinne,spansk,370,train,Høyere nivå,Tusenårsskiftet,tid 
45,N/A,h0004,kvinne,nederlandsk,433,N/A,Høyere nivå,Mobbing på arbeidsplassen,arbeid mobbing holdning 
36,N/A,h0005,kvinne,albansk,395,N/A,Høyere nivå,Et dikt av Einar Skjæraasen,litteratur dikt 
31,B1/B2,h0006,kvinne,spansk,489,train,Høyere nivå,Tusenårsskiftet,tid 
40,N/A,h0007,kvinne,nederlandsk,771,N/A,Høyere nivå,Barnelitteratur,barn litteratur kultur 
22,N/A,h0008,kvinne,serbokroatisk,623,N/A,Høyere nivå,Mobbing på arbeidsplassen,arbeid mobbing holdning 
40,C1,h0009,kvinne,polsk,727,train,Høyere nivå,Et dikt av Einar Skjæraasen,litteratur dikt 
41,N/A,h0010,kvinne,serbokroatisk,504,N/A,Høyere nivå,Hva er god barnelitteratur,litteratur kultur holdning 
28,N/A,h0011,kvinne,serbokroatisk,556,N/A,Høyere nivå,Hva er god barnelitteratur,litteratur kultur holdning 
29,B2,h0012,kvinne,spansk,526,dev,Høyere nivå,Verdikommisjonen,organisasjon 
36,N/A,h0013,kvinne,nederlandsk,566,N/A,Høyere nivå,Et dikt av Einar Skjæraasen,litteratur dikt 
37,N/A,h0014,mann,serbokroatisk,553,N/A,Høyere nivå,Et dikt av Einar Skjæraasen,litteratur dikt 
32,N/A,h0015,kvinne,nederlandsk,445,N/A,Høyere nivå,Barnelitteratur,barn litteratur kultur 
21,N/A,h0016,kvinne,albansk,422,N/A,Høyere nivå,Mobbing på arbeidsplassen,arbeid mobbing holdning 
27,B2,h0017,kvinne,spansk,471,train,Høyere nivå,Et dikt av Einar Skjæraasen,litteratur dikt 
30,B2,h0018,mann,spansk,429,train,Høyere nivå,Netthandel,handel økonomi media 
32,B1/B2,h0019,kvinne,polsk,801,train,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
34,B2,h0020,kvinne,spansk,366,train,Høyere nivå,Netthandel,handel økonomi media 
40,B1/B2,h0021,kvinne,spansk,489,train,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
19,N/A,h0022,kvinne,nederlandsk,434,N/A,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
28,N/A,h0023,kvinne,serbokroatisk,353,N/A,Høyere nivå,Ytringsfrihet,politikk holdning 
25,N/A,h0024,mann,serbokroatisk,442,N/A,Høyere nivå,Det norske monarkiet,norge styreform 
45,N/A,h0025,mann,nederlandsk,364,N/A,Høyere nivå,Det norske monarkiet,norge styreform 
25,B2/C1,h0026,kvinne,polsk,575,train,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
33,B2,h0027,kvinne,polsk,410,test,Høyere nivå,Ytringsfrihet,politikk holdning 
26,B2,h0028,kvinne,polsk,466,train,Høyere nivå,Netthandel,handel økonomi media 
29,B1/B2,h0029,mann,spansk,422,train,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
29,B2,h0030,mann,spansk,418,train,Høyere nivå,Netthandel,handel økonomi media 
34,B2,h0031,kvinne,polsk,412,test,Høyere nivå,Ytringsfrihet,politikk holdning 
37,N/A,h0032,mann,serbokroatisk,340,N/A,Høyere nivå,Det norske monarkiet,norge styreform 
31,B2/C1,h0033,mann,spansk,354,train,Høyere nivå,Netthandel,handel økonomi media 
20,N/A,h0034,kvinne,nederlandsk,569,N/A,Høyere nivå,Netthandel,-
23,N/A,h0035,kvinne,serbokroatisk,228,N/A,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
30,N/A,h0036,kvinne,nederlandsk,512,N/A,Høyere nivå,Netthandel,-
28,B2/C1,h0037,kvinne,spansk,499,train,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
30,N/A,h0038,mann,nederlandsk,390,N/A,Høyere nivå,Netthandel,-
37,N/A,h0039,kvinne,nederlandsk,450,N/A,Høyere nivå,Netthandel,-
28,N/A,h0040,kvinne,nederlandsk,475,N/A,Høyere nivå,Netthandel,-
41,N/A,h0041,kvinne,nederlandsk,387,N/A,Høyere nivå,Netthandel,-
49,N/A,h0042,kvinne,nederlandsk,633,N/A,Høyere nivå,Ytringsfrihet,politikk holdning 
28,N/A,h0043,kvinne,serbokroatisk,489,N/A,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
34,N/A,h0044,kvinne,nederlandsk,383,N/A,Høyere nivå,Det norske monarkiet,norge styreform 
31,N/A,h0045,kvinne,nederlandsk,462,N/A,Høyere nivå,Det norske monarkiet,norge styreform 
41,B2/C1,h0046,kvinne,polsk,460,train,Høyere nivå,Det norske monarkiet,norge styreform 
57,N/A,h0047,mann,serbokroatisk,520,N/A,Høyere nivå,Netthandel,-
19,N/A,h0048,kvinne,nederlandsk,471,N/A,Høyere nivå,Netthandel,handel økonomi media 
28,B2/C1,h0049,kvinne,spansk,466,train,Høyere nivå,Det norske monarkiet,norge styreform 
40,N/A,h0050,mann,nederlandsk,436,N/A,Høyere nivå,Netthandel,handel økonomi media 
29,N/A,h0051,kvinne,nederlandsk,438,N/A,Høyere nivå,Netthandel,handel økonomi media 
40,N/A,h0052,kvinne,nederlandsk,504,N/A,Høyere nivå,Det norske monarkiet,norge styreform 
25,N/A,h0053,mann,nederlandsk,414,N/A,Høyere nivå,Netthandel,handel økonomi media 
49,B2,h0054,kvinne,spansk,442,train,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
46,N/A,h0055,kvinne,serbokroatisk,588,N/A,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
28,N/A,h0056,mann,albansk,720,N/A,Høyere nivå,Netthandel,handel økonomi media 
