age,cefr,filename,gender,lang,num_tokens,testlevel,title,topic
24,A2/B1,s0594,kvinne,polsk,199,Språkprøven,Vennskap,folk relasjoner vennskap 
28,B1/B2,h0658,kvinne,polsk,766,Høyere nivå,Diktet 'Mayday' av Lars Saabye Christensen,litteratur dikt 
21,C1,h0475,kvinne,tysk,626,Høyere nivå,Miljøvern,miljø klima 
26,B2,h0544,kvinne,tysk,460,Høyere nivå,Praktisk og teoretisk utdanning,utdannelse 
30,B2,h0059,mann,spansk,288,Høyere nivå,Netthandel,handel økonomi media 
43,B1,h0115,mann,spansk,657,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
24,B1,s0794,kvinne,polsk,489,Språkprøven,Viktige verdier i livet,verdier 
33,B2,s0980,kvinne,polsk,367,Språkprøven,Boformer,bolig 
46,N/A,h0055,kvinne,serbokroatisk,588,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
36,N/A,s0362,mann,nederlandsk,251,Språkprøven,Bolig og bosted,bolig 
21,N/A,h2100,kvinne,bokmål,428,Høyere nivå,Organdonasjon,helse organ 
25,N/A,s0402,mann,nederlandsk,321,Språkprøven,Røyking,helse røyking 
21,N/A,h2042,mann,nynorsk,317,Høyere nivå,Organdonasjon,helse organ 
31,B1/B2,s0949,kvinne,polsk,462,Språkprøven,Trafikk og boligområder,trafikk bolig 
20,B1/B2,h0303,kvinne,tysk,415,Høyere nivå,Likestilling mellom kjønnene,kjønn 
26,B2,s0736,kvinne,engelsk,278,Språkprøven,Viktige verdier i livet,verdier 
39,N/A,s0371,mann,nederlandsk,258,Språkprøven,Bolig og bosted,bolig 
28,B2,h0662,kvinne,polsk,377,Høyere nivå,Diktet 'Mayday' av Lars Saabye Christensen,litteratur dikt 
26,A2,s0546,mann,somali,176,Språkprøven,Flytting,familie flytting 
37,N/A,h0148,kvinne,serbokroatisk,454,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
47,B2/C1,h0711,mann,somali,457,Høyere nivå,Bilisme,bil trafikk 
23,N/A,h2059,kvinne,bokmål,501,Høyere nivå,Organdonasjon,helse organ 
23,N/A,s0414,kvinne,nederlandsk,239,Språkprøven,Bomiljø,bolig 
